Year,Africa,Central Europe,Centrally Planned Asia,Developing America,Far East,Middle East,North America,Oceania,Western Europe
1900,636,52983,140,1136,3938,283,186508,8740,189561
1901,1067,55178,137,2106,4602,259,203431,10221,184901
1902,1590,54026,134,2403,4838,286,215650,10748,187922
1903,2155,54799,688,2521,5303,329,251737,10964,193793
1904,2433,57552,789,2834,5919,373,249269,12017,194226
1905,2800,57253,847,2980,6250,418,278353,12423,197176
1906,3198,62120,4898,3889,7125,432,292229,13940,209583
1907,3529,68185,4828,4079,8068,513,340828,14911,221670
1908,3658,70355,6455,5092,9077,470,299777,15977,224798
1909,4199,72787,6009,4674,9010,534,329896,15576,223174
1910,4752,71791,5532,5858,8927,514,360494,16846,229611
1911,4603,74749,7980,7557,9430,645,359349,18575,232899
1912,4900,82586,3062,7866,10322,614,384411,20450,230222
1913,5351,87871,3397,9031,11261,789,414682,22085,252378
1914,5336,77250,4704,7541,11412,774,377751,23901,220080
1915,5351,73869,5022,8115,11893,665,389297,21716,210665
1916,6346,79994,5537,8520,12400,687,434693,22629,212934
1917,6917,79856,5891,10241,13088,871,478633,25344,198970
1918,6749,55873,6341,11574,14501,1066,500846,27027,188594
1919,6945,25230,7263,14911,15966,1435,423866,28674,193294
1920,7656,44932,8022,25096,13832,1866,496798,28267,213705
1921,7638,45958,7794,28854,14749,2210,410059,25507,168077
1922,6543,46697,8216,28301,14832,2794,410080,27110,211924
1923,7928,43847,9816,25385,15737,3561,542301,28546,231666
1924,8360,47782,10761,25616,16834,4355,483890,30133,251498
1925,8783,46998,10515,23311,17068,4522,495672,31205,246522
1926,9399,54929,9504,23258,17219,4931,538562,31313,192075
1927,9235,65248,10743,20469,18330,5490,528614,33535,262574
1928,9490,70373,11347,23917,19181,5757,524446,33682,253287
1929,9773,78112,11908,26315,20731,5716,562058,33692,275656
1930,9198,83063,12429,26289,20722,6249,501247,30862,266200
1931,8043,90554,12936,22626,18899,6081,425474,27758,249329
1932,7268,92034,12598,23223,17709,6697,362066,27806,228163
1933,7779,97998,13632,25336,17968,7427,386645,31793,230404
1934,8881,113433,15870,28527,19654,8829,413292,34908,244405
1935,9802,124423,18501,32186,20456,9740,428237,37060,245943
1936,10651,140086,21083,33039,20935,10735,490410,40421,249017
1937,11421,145999,20086,40200,23517,12463,513933,43312,269666
1938,12015,154829,19304,40541,25567,12604,436400,44771,253845
1939,12789,155235,23497,39506,26892,14226,481133,44862,253835
1940,13551,211321,29505,37923,28130,12424,540426,51054,235502
1941,14747,194914,35735,41041,27542,9827,589348,52996,224847
1942,16056,165656,37120,31932,21208,12956,634547,51695,222070
1943,16410,194334,32274,38519,21939,14312,656455,52133,211836
1944,18190,180975,32339,44763,19045,18479,704364,48696,183379
1945,18431,139259,13928,49052,18022,23515,678457,31375,178978
1946,18605,167594,8751,69995,17635,30788,652692,25564,225346
1947,18546,190354,9381,58621,20267,36591,716244,30979,261506
1948,19581,202527,7166,61710,21621,29647,746606,36031,274564
1949,21112,229469,16967,31066,28622,32128,629100,38673,286366
1950,25912,249219,22160,44282,28152,4666,734194,45382,285826
1951,27621,270938,28465,52206,30548,7127,757385,52177,315423
1952,30138,291155,35829,54489,33991,6354,738128,54779,310630
1953,30589,310193,37636,54417,35154,7522,755014,58572,310986
1954,32107,336766,46181,59336,37506,9058,722170,60162,325907
1955,35352,374453,55226,65210,42259,13843,789086,60929,347102
1956,36916,407632,62476,70712,44333,16361,830437,66911,363468
1957,38688,444839,74039,75952,46785,17084,821902,74961,367196
1958,40603,471457,149338,74505,49425,18917,797790,73810,359915
1959,40379,495671,204416,80829,52334,19546,820998,78617,360573
1960,42761,518787,221797,81596,56549,24885,840903,91132,385293
1961,44245,538967,160325,83500,62012,26030,838474,105600,397955
1962,45428,568243,131552,88633,67517,30082,871118,109337,420169
1963,48166,609287,130975,88663,73392,34011,908192,120058,448855
1964,52891,648079,132649,95657,74719,39793,952767,131973,464840
1965,58361,680183,145996,98550,81345,47481,993476,142984,481051
1966,60414,712802,161328,103352,85732,54648,1042050,151959,495490
1967,64806,742604,139302,111396,91243,56480,1084702,173485,504247
1968,70325,769382,151175,118438,101311,64856,1127595,194887,532968
1969,75986,806714,183024,128715,106269,73742,1181388,222060,563282
1970,82760,851564,238947,142068,119856,78363,1273627,255466,608938
1971,90762,898551,275909,149047,127119,91824,1284259,265389,624011
1972,96242,942079,285660,156237,135849,99200,1348811,283715,645947
1973,103397,979540,298486,170634,146226,117712,1404913,302779,683525
1974,106249,1014159,303400,179880,149888,121738,1360365,303488,664456
1975,105890,1068686,348846,182103,160681,119257,1309919,291738,638652
1976,114918,1113866,361251,193688,177365,139517,1366899,302065,679769
1977,118446,1153076,393900,199586,193767,146791,1404539,313266,668630
1978,126546,1194739,434094,214079,207199,147463,1447166,307824,689443
1979,136596,1203133,443964,229158,220884,156795,1457285,322450,725364
1980,146753,1245252,437777,240408,228918,152609,1408902,324909,695195
1981,150302,1213413,433780,237910,234518,151952,1354187,322349,663109
1982,156662,1235831,469798,244425,241936,155359,1287582,315712,636528
1983,162889,1251687,496049,233229,260678,163653,1295491,308673,625189
1984,177874,1262368,538350,237329,268840,171621,1336457,327516,622498
1985,182408,1341858,584033,244632,288211,184902,1340233,322864,639667
1986,188939,1349255,616100,250054,304087,196752,1336383,322771,637575
1987,189016,1399212,660673,262521,321160,201438,1396161,324944,643938
1988,198700,1420301,710714,268927,354181,214498,1458571,349399,642993
1989,191394,1388554,723003,285282,382766,226879,1477600,363901,674003
1990,180457,1283457,708422,274865,410373,227850,1434029,378844,658433
1991,188460,1224567,741203,279564,443068,378688,1431041,379251,666620
1992,183829,1135490,771082,284836,479529,267141,1459098,387968,656041
1993,194731,1047808,820153,295635,515549,289398,1492844,387228,644772
1994,197893,927293,867407,306292,545918,302914,1513827,404816,644879
1995,213042,900420,938154,309296,581983,294269,1527286,408721,657581
1996,218087,881781,976018,324055,631018,296758,1563003,420552,679290
1997,223516,827102,978501,341848,665964,290764,1599130,421137,671103
1998,229718,805643,937738,361835,627673,313175,1611002,412242,689929
1999,227791,802482,937507,368802,667317,338464,1641685,425786,686179
2000,243380,802674,964273,367661,709090,372089,1698409,433694,693233
2001,242034,811151,989587,376336,730117,376099,1669955,428319,707796
2002,243540,809265,1090425,380764,749090,382281,1680023,437206,710537
2003,264749,841732,1281148,390141,776682,406777,1698610,442354,729079
2004,284433,846942,1473957,392857,816873,442370,1720282,450928,736836
2005,287897,849347,1657822,413565,838370,458209,1730882,445560,736295
2006,299083,876789,1832107,425924,866627,492233,1701965,447385,734721
2007,311256,882136,1966719,433701,921433,489536,1729857,455481,724449
2008,325814,894511,2114599,455349,988425,527346,1683976,447477,708718
2009,328568,810809,2239820,445751,1049629,546433,1581748,420528,655268
2010,330422,868660,2454064,468629,1075899,574378,1617181,437947,667268
2011,331899,898796,2714818,478709,1164378,589374,1588982,443582,632301
2012,338111,907922,2794130,498208,1221450,630675,1537195,453868,619795
2013,342699,885156,2857921,505786,1202883,622368,1547946,454313,602876
2014,353814,846001,2868887,515865,1265411,667988,1579349,442856,563225
